"Antal nyfödda efter tilltalsnamn och år"

"tilltalsnamn","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Idun",..,..,..,..,14,..,13,24,36,31,29,37,63,53,74,92,85
"Ilma",..,..,..,..,..,..,..,..,..,11,..,..,..,..,..,..,..
"Ilona",..,..,..,..,..,..,..,..,..,..,..,..,..,12,10,..,..
"Ilse",..,..,..,..,..,..,11,..,..,..,..,..,13,..,..,16,57
"Iman",13,16,30,23,19,28,19,12,14,17,22,14,16,20,23,22,16
"Ina",19,29,12,20,18,20,26,26,21,27,26,21,20,19,11,..,12
"Indra",..,..,..,..,18,45,40,30,31,30,31,21,22,17,14,10,..
"Ines",12,..,13,12,15,23,22,39,57,40,74,93,98,143,135,177,194
"Inez",13,..,21,21,26,38,47,51,82,102,104,131,150,140,123,119,135
"Ingrid",40,36,39,45,34,68,94,96,112,143,172,151,182,205,205,225,220
"Iqra",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16
"Irem",..,..,..,..,..,..,..,..,..,..,..,..,12,..,..,..,..
"Iris",19,11,12,24,31,36,45,67,87,96,149,156,163,197,187,229,237
"Irma",28,33,36,59,70,70,97,90,106,110,122,111,96,76,89,78,76
"Isabel",42,47,41,51,53,54,72,72,79,67,100,75,94,95,76,112,89
"Isabella",199,203,196,212,232,238,219,219,271,310,311,331,390,337,364,316,261
"Isabelle",222,209,243,227,254,264,242,283,323,293,331,322,310,351,359,299,323
"Isabell",97,85,105,81,68,98,96,110,75,98,111,105,128,112,86,104,67
"Isadora",..,..,..,..,..,..,..,..,..,10,..,10,11,15,16,15,15
"Isa",42,36,50,41,57,56,74,70,73,72,55,76,68,38,57,64,56
"Isis ",..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,..,..
"Isolde",..,..,..,..,14,..,13,16,14,25,31,36,32,38,23,36,28
"Isra",..,..,..,..,..,12,..,..,10,11,10,19,21,14,14,15,25
"Izabel ",..,..,..,..,..,..,..,10,..,..,..,..,..,..,..,..,..
"Izabella",33,46,47,48,41,63,52,65,51,62,74,50,69,44,50,35,40
"Izabelle",18,24,37,43,42,43,42,53,39,38,34,28,33,18,32,25,26
"Izabell",10,12,26,15,13,14,14,14,14,12,12,17,13,12,11,..,16
"Iza",..,..,..,14,13,18,34,30,19,28,19,17,15,14,12,10,15
"Jackie ",..,..,..,..,..,..,..,..,..,..,..,..,..,13,10,11,..
"Jacqueline",19,25,14,20,17,15,13,11,15,17,10,..,20,13,18,17,16
"Jamie",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Jamila",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Jana ",..,..,..,..,..,..,..,..,..,10,..,11,16,11,..,17,13
"Janina",18,11,11,11,..,..,..,11,..,..,..,..,..,..,..,..,..
"Jasmina",12,15,13,..,10,11,..,11,10,11,15,21,15,12,15,12,16
"Jasmine",82,81,77,89,77,65,77,82,89,80,85,80,71,72,67,61,70
"Jasmin",49,44,39,44,45,50,48,60,56,38,57,47,47,50,46,39,45
"Jeanette",..,13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Jenna",10,..,10,15,13,16,17,18,20,14,18,25,31,17,13,20,21
"Jennie",66,73,55,49,35,42,24,33,25,11,11,13,14,..,..,..,..
"Jennifer",340,358,388,338,294,300,239,180,159,119,102,99,87,85,46,66,54
"Jenny",205,159,159,114,93,75,73,68,53,45,35,26,29,22,24,16,16
"Jessica",188,181,137,90,87,83,75,56,68,47,50,39,50,36,51,26,28
"Jessie",..,..,11,..,..,..,..,13,..,..,10,..,..,..,12,..,..
"Jessika",14,18,24,..,14,..,..,..,..,..,..,..,..,..,..,..,..
"Jill",..,10,10,..,..,..,12,13,11,..,..,17,15,..,..,14,12
"Joanna",36,28,24,24,22,20,19,20,18,24,..,..,13,12,13,..,..
"Johanna",713,640,521,485,467,407,283,253,224,165,136,121,93,82,62,59,56
"Jolene ",..,..,..,..,..,..,..,..,..,..,..,13,11,19,16,..,15
"Jolie ",..,..,..,..,..,..,..,..,..,..,..,13,19,18,12,19,21
"Jolina",..,..,..,..,..,12,12,15,17,14,10,15,17,..,..,..,11
"Joline",..,21,17,17,14,26,45,62,54,62,104,138,141,123,136,134,140
"Jolin ",..,..,..,..,..,..,16,11,12,16,14,..,15,11,10,..,..
"Joni ",..,..,..,..,..,..,..,..,..,..,..,11,..,10,22,20,27
"Jonna",146,158,152,135,168,154,142,110,112,73,70,68,55,55,40,43,36
"Josefina",19,23,20,23,15,22,26,10,10,14,..,15,16,..,15,..,11
"Josefine",310,257,277,227,230,211,190,188,115,106,82,79,71,61,50,52,47
"Josefin",268,253,231,183,188,167,149,104,93,80,77,84,58,67,53,49,30
"Josephine",47,50,63,53,52,45,34,37,26,28,25,21,28,30,41,33,31
"Joy ",..,..,..,..,..,..,..,..,..,..,..,..,12,..,11,..,..
"Judith",..,13,11,12,16,16,15,17,21,30,29,37,38,64,38,47,44
"Judit ",..,..,..,..,..,..,..,..,12,20,14,17,17,26,18,26,23
"Julia",1171,1230,1243,1162,998,896,945,914,921,816,817,737,820,717,680,682,606
"Julie",..,..,10,13,20,..,20,29,30,39,50,37,56,93,79,89,84
"Juliette",..,..,..,..,..,..,..,..,..,..,12,13,10,10,12,14,15
"Juli",..,..,..,..,..,..,..,..,..,..,..,10,12,16,12,17,18
"Junia ",..,..,..,..,..,..,..,..,13,..,..,11,12,14,10,12,17
"Junie ",..,..,..,..,..,..,..,..,13,11,19,21,32,44,46,56,46
"Juni",..,..,..,..,..,14,23,29,54,34,71,69,98,148,179,197,218
"Juno ",..,..,..,..,..,..,..,..,..,..,..,22,23,34,39,57,46
"Kajsa",193,190,242,233,249,247,184,183,178,135,127,128,97,89,80,69,65
"Karin",99,126,96,98,68,87,66,63,65,57,49,43,45,42,46,36,38
"Karla",..,..,..,10,..,..,..,13,11,10,11,12,..,11,17,14,23
"Karolina",81,75,47,54,47,37,33,35,28,25,23,15,18,12,10,10,14
"Karolin",11,..,..,11,..,..,..,..,..,..,..,..,..,..,..,..,..
"Katarina",34,33,34,21,21,21,22,18,16,22,14,..,11,..,15,..,10
"Katja",18,17,13,13,12,19,16,12,11,13,10,18,..,..,..,..,10
"Kayla ",..,..,..,..,..,..,..,..,..,10,..,..,24,16,11,13,..
"Kellie ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,10
"Kelly",19,11,14,17,16,17,18,15,21,11,21,16,25,40,37,40,43
"Kendra ",..,..,..,..,..,..,..,..,..,..,..,11,10,..,11,..,10
"Kenza",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,10
"Kerstin",13,..,21,20,14,33,15,26,28,39,49,61,59,70,96,83,90
"Keyla ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,14,..
"Khadija",..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,11,11
"Kiara ",..,..,..,..,..,..,..,..,..,10,..,..,..,..,15,14,19
"Kimberly",10,..,14,12,14,..,..,..,13,..,..,11,13,10,..,17,21
"Kim",19,30,17,16,18,16,24,11,..,11,..,..,..,13,..,..,..
"Kira ",..,..,..,..,..,..,..,10,12,20,13,17,20,18,13,17,21
"Kitty ",..,..,..,..,..,..,..,..,..,..,..,11,..,..,..,14,..
"Klara",258,271,323,409,393,390,445,384,420,373,359,357,384,321,343,308,294
"Kornelia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,11
"Kristina",75,52,34,42,33,28,39,28,25,36,28,16,20,17,14,21,19
"Kristin",43,21,26,26,15,..,12,..,..,..,..,..,..,..,..,..,..
"Laila",..,..,..,14,..,..,..,..,10,10,14,20,11,10,12,15,10
"Lamar ",..,..,..,..,..,..,..,..,..,..,..,..,..,10,16,25,15
"Lamija",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..
"Lamis",..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..,..
"Lana",..,..,18,..,13,12,26,22,24,25,38,30,32,46,34,32,51
"Lara",20,12,17,26,27,23,35,49,40,50,57,57,79,56,60,58,64
"Larin",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12
"Laura",32,35,27,40,34,57,58,51,60,59,91,77,91,103,82,100,113
"Lava ",..,..,..,..,..,..,10,11,15,11,13,..,19,..,10,..,11
"Lavin ",..,..,..,..,..,..,..,..,..,..,..,..,..,14,16,13,14
"Layan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,11,15
"Layla ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..
"Leah",..,..,12,..,30,26,32,74,84,82,112,109,158,169,169,181,190
"Lea",10,10,15,40,51,53,84,109,114,120,140,151,144,146,167,163,162
"Lee ",..,..,..,..,..,..,..,..,..,..,..,..,12,..,..,11,..
"Leiah ",..,..,..,..,..,..,..,..,..,..,..,..,14,..,..,..,11
"Leia",..,..,12,18,24,38,85,98,129,117,138,173,207,165,159,157,178
"Leija ",..,..,..,..,..,..,..,..,10,..,..,10,31,20,16,16,15
"Leila",10,..,15,14,..,13,16,21,15,23,25,30,38,31,34,40,40
"Leja ",..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,11,..
"Lejla",17,14,11,16,19,19,20,23,22,23,22,24,33,17,21,13,10
"Lena",..,14,..,11,..,15,..,13,13,17,13,25,25,26,31,30,37
"Leona",..,..,..,11,18,13,19,31,30,39,76,95,75,79,67,70,80
"Leonie ",..,..,..,..,..,..,..,..,..,12,..,17,18,16,23,26,22
"Leonora",..,10,..,..,..,12,10,12,15,18,23,16,22,17,14,24,35
"Lexie ",..,..,..,..,..,..,..,..,..,..,..,..,18,16,22,37,32
"Leya ",..,..,..,..,..,..,..,..,11,..,..,..,10,..,21,19,..
"Leyla ",..,..,..,..,..,..,..,..,..,10,..,16,12,16,15,16,10
"Lia",..,..,..,12,18,17,26,29,15,24,24,39,31,41,39,38,49
"Liana",..,..,..,..,..,..,..,..,..,..,..,..,..,13,..,..,16
"Li",..,..,..,11,..,10,16,20,12,11,10,23,31,34,45,35,31
"Lilia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12
"Lilian",..,12,..,..,12,13,..,..,..,..,16,14,19,24,21,26,42
"Lilith ",..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..
"Lilja ",..,..,..,..,..,..,17,..,23,34,27,35,34,37,44,46,55
"Lillian ",..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,10,..
"Lillie",..,..,..,..,..,..,..,..,..,..,11,..,16,21,20,12,31
"Lilli",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Lilly",14,..,11,15,15,26,35,57,90,146,176,231,298,312,307,352,350
"Lilo ",..,..,..,..,..,..,..,..,..,..,..,..,..,14,12,12,16
"Lily ",..,..,..,..,..,..,..,19,26,51,77,112,137,160,181,199,247
"Lina",309,270,280,259,275,260,246,270,212,155,156,160,149,146,134,117,123
"Linda",199,156,111,102,96,68,66,49,44,44,36,31,23,30,24,22,23
"Line",15,12,20,23,27,36,29,33,35,28,18,38,33,33,40,49,36
"Lin",..,..,..,..,..,..,..,..,..,..,..,..,10,12,14,..,16
"Linnea",450,424,446,411,438,428,415,423,428,405,392,400,477,428,355,345,328
"Linnéa",477,523,532,420,493,476,476,446,414,364,320,283,263,287,258,198,262
"Linn",368,353,494,388,408,408,408,314,322,224,220,204,209,167,158,137,147
"Lisa",374,369,387,375,375,344,333,332,298,265,217,196,208,170,183,153,141
"Lisen",..,..,..,16,10,17,16,30,21,26,25,28,25,33,27,24,24
"Liva ",..,..,..,..,..,..,..,..,..,..,14,10,..,10,12,..,..
"Livia",..,..,13,20,26,37,59,58,69,112,118,145,205,197,185,191,204
"Liv",26,52,53,58,93,107,134,150,115,122,178,204,236,242,238,287,254
"Liza",..,11,17,17,10,22,13,13,16,16,14,..,12,..,..,..,..
"Lizette",16,16,10,..,10,..,..,..,..,..,..,..,..,..,..,..,..
"Lo ",..,..,..,..,..,..,16,18,15,20,34,45,63,49,73,77,89
"Lola ",..,..,..,..,..,..,..,..,..,..,..,..,..,14,20,16,17
"Lorena",..,..,..,..,..,..,..,..,..,..,..,..,13,..,16,10,13
"Lorin",..,..,..,..,..,12,11,..,16,15,15,11,..,19,20,13,14
"Lotta",19,18,10,..,13,11,..,13,16,10,14,..,17,12,18,23,14
"Louisa",13,..,14,11,..,..,16,17,11,14,14,11,17,..,11,14,10
"Louise",305,266,219,208,169,162,159,133,111,102,84,72,59,65,50,62,53
"Lou ",..,..,..,..,..,..,..,..,..,..,..,..,..,19,13,21,19
"Lova",42,39,49,71,119,256,276,258,250,225,272,300,324,272,233,224,203
"Lowa",..,..,..,..,..,18,33,26,34,30,37,43,47,50,66,69,52
"Lovelia ",..,..,..,..,..,..,..,..,..,..,..,..,17,12,..,15,25
"Lovi",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12
"Lovina ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..
"Lovisa",425,391,387,396,454,474,454,402,429,372,356,338,314,285,297,277,254
"Lovis",..,11,..,17,16,25,26,29,39,50,57,76,87,112,119,114,134
"Lucia",..,..,..,..,..,..,16,12,14,10,17,13,23,14,18,19,18
"Lucy ",..,..,..,..,..,..,..,..,..,..,11,10,..,11,15,13,19
"Luna",..,..,..,..,12,14,14,29,25,27,32,34,35,52,83,82,130
"Lycka ",..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..
"Lycke ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,13,12
"Lydia",45,54,51,46,36,43,36,34,52,50,31,36,33,36,40,53,44
"Lykke ",..,..,..,..,..,..,..,14,14,16,32,74,90,123,133,160,155
"Madeleine",182,161,161,121,105,107,68,63,40,48,37,34,25,33,22,24,19
"Madelene",74,56,40,37,35,34,18,20,..,..,11,..,..,..,..,..,..
"Madelen",15,..,11,..,10,..,..,..,..,..,..,..,..,..,..,..,..
"Madicken",..,16,14,15,22,20,14,14,19,17,16,21,18,10,14,16,13
"Magda",10,13,..,12,15,14,10,10,..,15,12,..,10,17,14,13,12
"Magdalena",51,54,43,41,39,34,21,23,25,24,14,21,16,24,..,16,10
"Maggie ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,..,10
"Maia",..,..,10,12,..,..,10,..,17,11,28,35,10,13,15,14,20
"Maida",..,..,..,..,..,..,..,..,..,..,..,..,12,10,16,23,38
"Maija",..,..,..,..,11,..,..,..,..,..,..,10,11,14,..,10,11
"Maja",430,674,667,670,650,726,845,824,780,723,627,632,686,548,488,571,546
"Maj ",..,..,..,..,..,..,13,..,10,14,..,18,21,24,30,31,44
"Majken",..,..,11,22,17,32,41,65,59,85,111,98,132,137,179,187,169
"Malak",..,..,..,..,..,11,12,13,12,21,31,32,35,32,40,28,39
"Malin",413,326,262,199,191,202,158,121,104,74,80,54,46,43,28,22,26
"Malou",..,14,21,12,16,29,11,18,21,15,18,30,34,29,21,25,20
"Malva",10,20,31,45,63,70,86,94,107,110,93,132,110,80,80,89,66
"Malvina",..,..,..,..,..,11,..,11,12,..,..,..,..,10,10,..,10
"Manar",..,..,..,..,10,..,..,..,..,..,..,..,..,..,..,..,..
"Manda",..,..,..,..,13,..,..,..,..,10,..,13,..,..,11,18,14
"Maram",..,..,..,..,..,..,..,..,..,..,..,10,..,11,15,..,..
"Maria",227,189,185,158,161,144,148,132,126,143,118,117,156,118,123,119,142
"Mariam",33,29,34,38,20,38,46,39,34,37,57,45,66,55,64,49,53
"Marie",39,36,18,15,18,..,17,15,16,11,11,14,14,11,14,13,..
"Marielle",15,20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Marika",24,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Marina",20,24,23,17,19,17,21,12,10,12,10,17,16,14,19,14,13
"Marion",10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..
"Marta",10,..,..,..,..,..,13,11,..,16,14,13,12,..,..,14,11
"Martina",69,59,59,60,44,48,45,37,32,23,19,22,12,14,16,13,14
"Marwa",..,10,..,..,11,11,11,10,12,12,17,19,..,15,16,14,28
"Maryama",..,..,11,..,..,..,..,..,..,..,..,..,..,15,..,13,19
"Maryam",12,14,11,14,17,27,13,16,18,23,27,30,46,42,52,58,55
"Maryan ",..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..
"Mary",..,..,..,10,..,..,..,12,..,12,..,17,14,12,10,20,23
"Mathilda",226,215,224,215,205,179,171,158,107,97,76,94,102,73,76,78,65
"Mathilde",..,..,10,15,12,11,10,..,..,20,12,15,17,16,10,13,25
"Matilda",618,589,585,574,604,537,567,473,394,382,371,382,330,282,270,221,214
"Matilde ",..,..,..,..,..,..,10,..,..,..,..,14,10,..,..,..,..
"Maxine",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,12
"Maya",24,48,61,100,116,114,160,192,215,163,172,189,182,164,155,167,146
"Medina",..,13,10,12,..,..,16,14,13,11,18,26,27,25,34,44,53
"Meia ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..
"Meija ",..,..,..,..,..,..,..,..,..,..,14,15,..,18,13,19,22
"Meja",..,17,24,44,51,89,132,143,187,220,236,306,287,231,193,231,233
"Melanie",20,21,17,22,22,25,17,28,28,34,42,41,31,43,56,57,56
"Melek",..,..,..,..,..,..,..,..,..,10,..,13,15,10,14,10,16
"Melina",36,52,48,67,57,67,55,69,63,73,69,101,111,110,108,125,119
"Melinda",46,54,56,57,52,52,42,28,27,38,31,28,42,28,39,23,30
"Melisa",20,21,15,20,18,14,21,17,27,25,18,24,29,17,25,29,25
"Melissa",54,64,69,67,73,84,100,91,97,113,111,119,141,167,183,219,191
"Melody",..,..,..,..,..,..,10,12,..,16,16,18,29,21,33,33,28
"Mercedes",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..
"Merve",12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Meryem",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"Meya ",..,..,..,..,..,..,10,19,34,29,33,52,53,50,57,40,47
"Mia",25,20,18,19,24,30,25,31,37,37,29,35,51,34,40,48,49
"Micaela",17,16,20,15,..,..,..,..,..,..,..,..,..,..,..,..,..
"Michaela",108,61,51,41,34,41,27,21,32,17,..,..,10,16,..,14,..
"Michelle",140,117,106,111,102,106,92,89,88,77,88,86,62,60,57,70,63
"Mikaela",213,157,117,105,106,69,60,70,44,52,50,32,44,34,28,24,35
"Mika",13,18,..,21,13,..,11,11,17,27,19,24,27,24,18,24,17
"Mila ",..,..,..,..,..,..,..,..,..,12,32,23,30,47,76,87,95
"Milea ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,..,13
"Milena ",..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,..,..
"Miley ",..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..
"Milia ",..,..,..,..,..,..,..,..,..,12,12,22,22,27,25,31,29
"Milla",..,12,21,24,42,48,63,67,71,69,95,108,113,108,85,96,85
"Millie",..,..,..,..,10,..,..,..,19,18,15,34,35,46,50,73,59
"Milly ",..,..,..,..,..,..,13,..,..,10,15,18,29,28,32,27,23
"Milou ",..,..,..,..,..,..,..,..,..,10,..,19,28,13,21,14,11
"Mimmi",53,59,58,53,41,33,41,35,45,38,33,26,35,32,21,30,30
"Mina",15,21,17,28,22,28,25,35,30,36,28,35,34,29,37,30,34
"Minea ",..,..,..,..,..,..,10,12,..,13,17,19,..,16,10,23,10
"Minella ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,18,..,11
"Minelle",..,..,..,..,..,..,..,..,..,..,..,..,..,13,25,21,24
"Minja ",..,..,..,..,..,..,..,..,..,11,10,..,..,..,11,..,15
"Minnah ",..,..,..,..,..,..,..,..,..,..,..,..,21,103,50,37,30
"Minna",42,44,52,64,52,79,87,96,92,103,109,73,133,205,139,165,110
"Minou ",..,..,..,..,..,..,..,..,13,17,12,19,22,18,21,32,34
"Mirabelle",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Mira",25,28,43,50,56,84,112,135,141,191,209,207,172,161,157,164,158
"Miranda",79,88,83,106,96,139,94,123,152,139,146,123,124,111,88,96,89
"Mirella",..,..,..,..,..,..,..,..,11,..,..,..,..,..,12,..,11
"Miriam",36,45,28,33,32,40,29,20,45,30,35,35,47,30,30,39,40
"Mirjam",12,15,13,14,16,19,15,20,20,18,12,15,13,..,..,15,12
"Mirna",..,..,..,..,..,..,..,..,..,..,..,..,17,..,..,..,10
"Moa",780,805,741,689,797,815,711,695,622,569,514,508,541,462,422,381,319
"Mollie",..,15,13,10,14,23,16,21,31,44,37,60,60,82,64,60,63
"Molly",84,103,105,137,154,182,203,245,295,385,509,558,612,588,534,488,512
"Mona",31,33,38,21,18,23,29,27,18,28,18,34,18,19,20,21,20
"Monika",11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Munira",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"My",129,156,178,150,155,147,152,148,127,145,114,141,180,184,201,146,160
"Myra ",..,..,..,..,..,..,11,12,17,11,19,15,..,20,13,10,15
"Märta",29,37,37,57,59,70,74,99,98,116,127,143,174,187,172,171,153
"Märtha",..,..,..,..,10,14,11,16,17,23,13,20,15,25,27,22,22
"Nada",..,..,..,..,..,..,..,..,..,..,12,12,10,10,..,11,..
"Nadia",28,24,13,21,21,21,26,27,30,21,30,16,43,22,32,35,21
"Nadine",11,10,17,15,12,22,21,12,16,18,16,15,10,14,14,11,..
"Nadin",13,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..
"Nadja",34,56,48,42,47,41,34,28,33,40,35,29,29,26,25,23,15
"Naemi ",..,..,..,..,..,..,..,..,11,..,..,12,..,10,..,13,10
"Naima",..,12,10,..,10,..,10,16,19,28,30,26,28,25,28,24,20
"Najma",..,..,..,..,..,12,..,..,..,..,..,..,11,..,..,..,10
"Nancy",..,11,..,..,..,..,16,14,16,16,..,..,..,17,..,10,..
"Nanna",11,..,..,..,10,10,15,12,..,11,16,10,11,15,13,10,..
"Naomi",12,..,14,12,18,11,23,28,39,37,28,34,43,38,42,40,50
"Narin",..,10,..,13,..,..,..,..,..,13,14,11,10,..,..,11,10
"Natalia",18,11,10,12,11,14,15,17,22,25,22,22,20,32,16,27,17
"Natalie",129,108,129,127,158,130,138,138,180,165,152,125,114,101,88,85,69
"Natali",17,12,..,..,..,..,..,12,..,..,11,..,..,..,..,..,..
"Natasha",15,19,14,18,13,17,16,20,..,12,11,11,12,..,11,..,..
"Nathalie",262,214,260,226,241,216,193,202,203,163,197,191,158,140,134,121,109
"Nawal ",..,..,..,..,..,..,..,..,..,..,..,..,11,..,15,12,12
"Naya",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16
"Neah ",..,..,..,..,..,..,..,..,..,14,12,..,15,23,20,12,23
"Nea",..,..,..,11,15,25,52,40,42,33,37,44,52,51,49,37,43
"Nejla",..,..,..,..,..,..,..,..,..,..,..,..,..,15,..,..,11
"Nelia ",..,..,..,..,..,..,..,..,..,..,13,12,19,14,15,16,26
"Nella",..,..,..,..,..,..,..,..,..,..,10,18,16,10,10,11,13
"Nellie",132,128,125,142,199,233,271,315,378,469,435,441,421,466,404,349,339
"Nelli ",..,..,..,..,..,..,11,20,16,19,25,15,27,23,15,11,10
"Nell",..,..,..,..,..,..,..,..,13,11,..,..,..,..,..,..,..
"Nelly",80,61,66,79,102,115,112,127,139,187,183,160,143,143,155,139,104
"Nemi ",..,..,..,..,..,..,..,10,12,17,12,10,21,19,12,16,13
"Nicki",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..
"Nicole",131,125,133,110,117,145,116,132,135,110,107,129,129,134,111,113,128
"Nicolina",13,17,21,15,19,20,10,16,..,11,..,13,15,11,13,10,17
"Nike",21,13,24,20,26,35,28,30,58,60,56,65,54,68,59,59,58
"Niki",..,14,12,10,11,..,13,11,14,..,..,11,11,11,..,..,..
"Nikita",34,23,40,27,25,31,31,15,32,23,25,23,24,22,24,23,15
"Nikki",16,10,..,10,21,14,19,26,25,27,37,45,82,63,62,66,45
"Nikola",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..
"Nikolina",11,..,..,..,..,..,..,..,10,..,..,..,12,12,13,13,..
"Nilla ",..,..,..,..,..,..,..,..,..,12,..,..,..,..,12,..,..
"Nina",77,64,59,65,54,49,63,67,55,57,56,54,55,53,60,49,58
"Ninja ",..,..,..,..,..,..,..,..,..,..,..,12,..,13,11,..,..
"Ninni",..,10,..,..,..,..,14,11,11,10,10,..,..,..,..,..,..
"Nisa ",..,..,..,..,..,..,..,..,12,..,..,..,12,13,13,..,13
"Noa ",..,..,..,..,..,..,..,..,..,12,..,..,..,..,..,..,..
"Noelia",..,..,..,..,..,..,..,10,..,14,11,21,19,23,25,28,34
"Noelle",..,..,..,..,..,..,..,11,13,12,19,28,43,27,40,55,40
"Nomi ",..,..,..,..,..,..,..,..,..,..,11,14,..,10,21,16,11
"Noomi",..,..,..,..,12,14,18,14,26,26,29,45,78,93,80,71,98
"Noor",12,16,15,11,12,11,12,..,18,17,28,32,36,40,29,26,29
"Norah",..,..,..,..,..,15,31,35,26,35,40,33,31,24,38,35,36
"Nora",168,237,247,258,263,262,307,290,316,334,319,297,253,274,247,240,252
"Norea",..,10,14,11,..,..,..,..,..,..,..,..,..,..,..,..,..
"Nor",..,13,14,..,..,..,..,..,10,16,..,13,..,..,..,..,..
"Nour",12,11,..,15,12,14,17,18,15,17,20,21,25,19,24,28,26
"Nova",..,..,32,51,90,119,229,308,362,434,458,452,499,464,418,446,388
"Nowa ",..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,..,..
"Novalee",..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..
"Novalie ",..,..,..,..,..,..,..,14,14,23,22,41,71,74,85,103,119
"Novali ",..,..,..,..,..,..,..,..,..,..,..,..,12,14,12,17,16
"Nova-Li ",..,..,..,..,..,..,..,..,..,..,..,10,10,..,..,13,..
"Novelia ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,..,..
"Ofelia",..,12,..,..,14,23,15,..,..,14,27,17,22,21,27,25,29
"Olga",..,..,11,14,16,..,13,15,12,14,10,17,16,13,13,11,11
"Olivia",377,393,428,373,407,439,464,458,436,479,485,560,693,561,529,596,611
"Oliwia",..,..,..,..,..,11,..,..,..,..,10,..,10,16,20,17,14
"Ophelia",..,..,..,..,..,..,..,..,12,..,..,..,..,12,11,15,13
"Othilia",..,..,..,11,..,13,15,12,..,11,20,14,23,18,19,18,23
"Otilia",..,..,..,..,..,..,..,..,..,..,..,10,..,12,..,..,..
"Ottilia",24,20,18,15,23,21,24,25,22,17,20,21,22,18,21,12,19
"Pamela",13,..,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..
"Parisa",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,..
"Parnia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Patricia",82,63,47,46,50,35,25,33,30,33,35,19,28,15,..,16,14
"Paula",26,24,26,28,23,35,31,31,21,23,22,13,14,17,12,12,14
"Paulina",78,82,48,56,67,46,53,27,44,23,31,22,28,26,27,22,22
"Pauline",34,28,20,17,16,14,29,15,22,..,..,13,12,14,..,..,10
"Penny ",..,..,..,..,..,..,..,12,..,10,15,14,21,35,53,56,76
"Perla ",..,..,..,..,..,..,..,..,12,..,..,..,12,..,..,..,..
"Pernilla",47,30,18,21,16,..,..,..,..,..,..,..,..,..,..,..,..
"Petra",50,34,31,27,21,21,25,18,13,12,..,12,14,..,..,..,..
